match_id,date,league,home_recent_wins,home_recent_draws,home_recent_losses,home_recent_goals_for,home_recent_goals_against,home_recent_form_points,away_recent_wins,away_recent_draws,away_recent_losses,away_recent_goals_for,away_recent_goals_against,away_recent_form_points,h2h_home_wins,h2h_draws,h2h_away_wins,home_avg_goals,home_total_matches,away_avg_goals,away_total_matches,total_goals,over_2_5,btts,home_win,draw,away_win,home_scoring_trend,away_scoring_trend,form_difference,home_form_normalized,away_form_normalized,h2h_home_dominance,h2h_away_dominance,h2h_balance,home_defensive_rating,away_defensive_rating,expected_goals_combined
2009,2020-12-06,PD,1,1,3,4,9,4,0,2,3,4,11,2,0,0,0,0.0,0,0.0,0,6,1,1,0,1,0,0.0,0.0,2,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,1.8,2.2,2.0
2010,2020-12-06,PD,1,1,3,3,9,4,1,0,4,5,14,3,0,0,0,0.0,0,0.0,0,2,0,0,0,0,1,0.0,0.0,1,0.26666666666666666,0.2,0.0,0.0,0.0,1.8,2.8,2.3
2011,2020-12-06,PD,2,3,0,7,3,9,1,3,1,6,7,6,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,3,0.6,0.4,0.0,0.0,0.0,0.6,1.4,1.0
2012,2020-12-06,PD,2,3,0,8,5,9,4,1,0,12,3,13,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,-4,0.6,0.8666666666666667,0.0,0.0,0.0,1.0,0.6,0.8
3888,2020-12-06,BL1,0,4,1,7,9,4,0,4,1,8,10,4,0,0,0,0.0,0,0.0,0,3,1,1,0,0,1,0.0,0.0,0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,1.8,2.0,1.9
3889,2020-12-06,BL1,0,2,3,4,12,2,4,1,0,13,7,13,0,0,0,0.0,0,0.0,0,3,1,0,0,0,1,0.0,0.0,-11,0.13333333333333333,0.8666666666666667,0.0,0.0,0.0,2.4,1.4,1.9
107,2020-12-07,PL,1,3,1,5,5,6,3,1,1,11,7,10,0,0,0,0.0,0,0.0,0,3,1,1,0,0,1,0.0,0.0,-4,0.4,0.6666666666666666,0.0,0.0,0.0,1.0,1.4,1.2
2013,2020-12-07,PD,2,2,1,4,3,8,1,2,2,9,8,5,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,3,0.5333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6,1.6,1.1
3890,2020-12-07,BL1,0,3,2,7,10,3,1,2,2,6,9,5,0,0,0,0.0,0,0.0,0,4,1,1,1,0,0,0.0,0.0,-2,0.2,0.3333333333333333,0.0,0.0,0.0,2.0,1.8,1.9
108,2020-12-11,PL,1,1,3,4,11,4,3,0,2,6,6,9,0,0,0,0.0,0,0.0,0,3,1,1,0,0,1,0.0,0.0,-5,0.26666666666666666,0.6,0.0,0.0,0.0,2.2,1.2,1.7000000000000002
2014,2020-12-11,PD,2,1,2,6,7,7,0,1,4,2,11,1,0,0,0,0.0,0,0.0,0,5,1,1,1,0,0,0.0,0.0,6,0.4666666666666667,0.06666666666666667,0.0,0.0,0.0,1.4,2.2,1.8
3891,2020-12-11,BL1,3,2,0,12,7,11,0,5,0,8,8,5,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0,0.0,0.0,6,0.7333333333333333,0.3333333333333333,0.0,0.0,0.0,1.4,1.6,1.5
109,2020-12-12,PL,2,1,2,5,7,7,1,0,4,8,11,3,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0,4,0.4666666666666667,0.2,0.0,0.0,0.0,1.4,2.2,1.8
110,2020-12-12,PL,2,1,2,5,6,7,1,0,4,2,9,3,0,0,0,0.0,0,0.0,0,3,1,1,1,0,0,0.0,0.0,4,0.4666666666666667,0.2,0.0,0.0,0.0,1.2,1.8,1.5
111,2020-12-12,PL,4,0,1,10,5,12,3,1,1,9,3,10,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,2,0.8,0.6666666666666666,0.0,0.0,0.0,1.0,0.6,0.8
112,2020-12-12,PL,1,1,3,6,9,4,4,1,0,12,2,13,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0.0,0.0,-9,0.26666666666666666,0.8666666666666667,0.0,0.0,0.0,1.8,0.4,1.1
2015,2020-12-12,PD,1,3,1,8,6,6,2,1,2,8,6,7,0,0,0,0.0,0,0.0,0,4,1,1,0,1,0,0.0,0.0,-1,0.4,0.4666666666666667,0.0,0.0,0.0,1.2,1.2,1.2
2016,2020-12-12,PD,0,3,2,4,9,3,3,0,2,7,5,9,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0,-6,0.2,0.6,0.0,0.0,0.0,1.8,1.0,1.4
2017,2020-12-12,PD,0,3,2,6,10,3,1,4,0,6,5,7,0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0.0,0.0,-4,0.2,0.4666666666666667,0.0,0.0,0.0,2.0,1.0,1.5
2018,2020-12-12,PD,2,1,2,8,8,7,5,0,0,11,1,15,0,0,0,0.0,0,0.0,0,2,0,0,1,0,0,0.0,0.0,-8,0.4666666666666667,1.0,0.0,0.0,0.0,1.6,0.2,0.9
3892,2020-12-12,BL1,2,1,2,11,8,7,1,3,1,9,10,6,0,0,0,0.0,0,0.0,0,6,1,1,0,0,1,0.0,0.0,1,0.4666666666666667,0.4,0.0,0.0,0.0,1.6,2.0,1.8
3893,2020-12-12,BL1,0,2,3,6,13,2,1,0,4,4,12,3,0,0,0,0.0,0,0.0,0,2,0,0,1,0,0,0.0,0.0,-1,0.13333333333333333,0.2,0.0,0.0,0.0,2.6,2.4,2.5
3894,2020-12-12,BL1,1,2,2,8,9,5,1,2,2,7,8,5,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0.0,0.0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.8,1.6,1.7000000000000002
3895,2020-12-12,BL1,2,2,1,11,8,8,2,2,1,9,7,8,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,1.6,1.4,1.5
3896,2020-12-12,BL1,2,2,1,9,6,8,0,3,2,7,10,3,0,0,0,0.0,0,0.0,0,2,0,0,1,0,0,0.0,0.0,5,0.5333333333333333,0.2,0.0,0.0,0.0,1.2,2.0,1.6
3897,2020-12-12,BL1,3,1,1,14,8,10,3,2,0,12,8,11,0,0,0,0.0,0,0.0,0,2,0,1,0,1,0,0.0,0.0,-1,0.6666666666666666,0.7333333333333333,0.0,0.0,0.0,1.6,1.6,1.6
