iter	Logloss
0	0.6797938837
1	0.6664793068
2	0.650732593
3	0.6423462484
4	0.6327359208
5	0.6249274851
6	0.6172422605
7	0.6103385854
8	0.6042707212
9	0.5995219578
10	0.5916010063
11	0.5865542332
12	0.5793233497
13	0.5733464321
14	0.5679538762
15	0.5627109135
16	0.5584567061
17	0.555547946
18	0.5513196571
19	0.5438780027
20	0.5382785262
21	0.5364616251
22	0.5318196377
23	0.5267699054
24	0.5232552502
25	0.5185637429
26	0.5157902085
27	0.5134818532
28	0.5096316471
29	0.5058527082
30	0.5040137032
31	0.5014715106
32	0.4988108483
33	0.4977391323
34	0.4954016855
35	0.4916062756
36	0.4889049708
37	0.4866984002
38	0.4837468941
39	0.4814473446
40	0.4790182025
41	0.4762778951
42	0.4729255605
43	0.4710017409
44	0.4683423265
45	0.4666703126
46	0.4638832306
47	0.4611035641
48	0.4602183404
49	0.4588831964
50	0.4563895252
51	0.4542577155
52	0.453051273
53	0.450013027
54	0.4482848978
55	0.4468683261
56	0.4448562337
57	0.4430523453
58	0.4407467708
59	0.4374878429
60	0.4361556579
61	0.4348673954
62	0.4328949117
63	0.4304507603
64	0.4280779117
65	0.4271814222
66	0.4260638228
67	0.4241000024
68	0.420621462
69	0.4187661287
70	0.4164299653
71	0.4158040697
72	0.4137703013
73	0.4109564808
74	0.4095426185
75	0.4085597101
76	0.406881778
77	0.4039715918
78	0.4030074004
79	0.4009659669
80	0.3993379112
81	0.3967745059
82	0.3947640535
83	0.3925266801
84	0.3905303812
85	0.3888592943
86	0.3865065887
87	0.3849849879
88	0.3835629971
89	0.3815666983
90	0.3800093749
91	0.378622572
92	0.3769060652
93	0.3757189457
94	0.3735426787
95	0.3718832497
96	0.3698358268
97	0.36868279
98	0.3672773415
99	0.3663362164
100	0.3650090583
101	0.3628325418
102	0.3617545868
103	0.3594907957
104	0.3585371214
105	0.356287983
106	0.3551207213
107	0.3537747392
108	0.3526936825
109	0.3518094927
110	0.349333576
111	0.3477554678
112	0.3462831016
113	0.3453662195
114	0.3442598147
115	0.3432591875
116	0.341976451
117	0.3405578827
118	0.3394934396
119	0.33846504
120	0.3374891192
121	0.3366844676
122	0.3353257937
123	0.3330244617
124	0.3309908715
125	0.3285775229
126	0.3259141512
127	0.325186364
128	0.3237313244
129	0.3222038412
130	0.3204521821
131	0.3183294991
132	0.3170361385
133	0.3165688916
134	0.3152918593
135	0.3141670584
136	0.3123644535
137	0.3107068784
138	0.3093531956
139	0.3076580796
140	0.3068215201
141	0.3048747767
142	0.3035366379
143	0.3018435184
144	0.3003658402
145	0.2986911168
146	0.2974927136
147	0.295953198
148	0.2951511847
149	0.2942884213
150	0.2927568026
151	0.291411694
152	0.2897757949
153	0.2879599455
154	0.2867830758
155	0.2852688727
156	0.2847527834
157	0.2834366059
158	0.2815244799
159	0.2801237552
160	0.2790205768
161	0.2772361898
162	0.2764661735
163	0.2747997034
164	0.2739172606
165	0.2730292383
166	0.2716578546
167	0.2700486941
168	0.2684197114
169	0.2671197196
170	0.2655782076
171	0.2637741588
172	0.2624430612
173	0.2612528222
174	0.2601227805
175	0.2583264502
176	0.2565556107
177	0.2555119523
178	0.2547762505
179	0.2531364477
180	0.2524026176
181	0.2514904058
182	0.2504219519
183	0.2486536614
184	0.2473851855
185	0.2463083178
186	0.2455398702
187	0.2442066513
188	0.2431129563
189	0.2415955089
190	0.2407280753
191	0.2395080495
192	0.2378390125
193	0.2361934163
194	0.2351648206
195	0.2343185639
196	0.2331206063
197	0.2320647552
198	0.2311773746
199	0.229483952
200	0.2287760583
201	0.2277528282
202	0.2271012101
203	0.2251156958
204	0.2240536948
205	0.2228386781
206	0.2214403242
207	0.219882466
208	0.2180401454
209	0.2169517802
210	0.2157585643
211	0.2145008907
212	0.2143593013
213	0.2123900084
214	0.2112899495
215	0.2111558825
216	0.2105510391
217	0.2098361042
218	0.2088021608
219	0.2082403486
220	0.2066400296
221	0.2056791716
222	0.2045844426
223	0.2037797019
224	0.2023178528
225	0.2014592786
226	0.2005304354
227	0.1996010575
228	0.1982307434
229	0.1971889032
230	0.1965628651
231	0.1950939927
232	0.1940907452
233	0.1931025068
234	0.1919224285
235	0.1906140942
236	0.1897070341
237	0.1883249372
238	0.1871351795
239	0.1861851772
240	0.1849147939
241	0.1838786045
242	0.1828284932
243	0.1815634754
244	0.1807387165
245	0.1800389513
246	0.1789905156
247	0.1779816708
248	0.1767443006
249	0.1757132272
250	0.1745034334
251	0.1739023868
252	0.1730406752
253	0.1725618238
254	0.1716696659
255	0.1704992847
256	0.1696611743
257	0.1685618106
258	0.1673751011
259	0.1663236529
260	0.1650892596
261	0.1639187537
262	0.1631847096
263	0.1625739837
264	0.1617232884
265	0.1604818184
266	0.1593027382
267	0.1583997245
268	0.1580165257
269	0.1569350947
270	0.1561021359
271	0.1550277639
272	0.1541001329
273	0.1539791143
274	0.1528392685
275	0.1518644172
276	0.1506573508
277	0.1502037761
278	0.1496053321
279	0.1486214433
280	0.1477124936
281	0.1472468688
282	0.1462054386
283	0.1455435708
284	0.1444863114
285	0.1434612096
286	0.1426571195
287	0.1420425789
288	0.1416028459
289	0.1408566181
290	0.1401754451
291	0.1393049543
292	0.1386466873
293	0.1377833536
294	0.1369094314
295	0.1361788099
296	0.1355269601
297	0.1348410811
298	0.1338814887
299	0.133267269
