match_id,date,surface,tourney_name,tourney_level,player1_rank,player2_rank,rank_difference,player1_recent_wins,player1_recent_losses,player1_form_points,player2_recent_wins,player2_recent_losses,player2_form_points,form_difference,h2h_player1_wins,h2h_player2_wins,h2h_total,player1_surface_wins,player1_surface_total,player1_surface_winrate,player2_surface_wins,player2_surface_total,player2_surface_winrate,surface_winrate_diff,is_hard,is_clay,is_grass,is_grand_slam,is_masters,player1_win
29,2020-01-06,Hard,Doha,A,66.0,229.0,-163.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
30,2020-01-06,Hard,Doha,A,75.0,65.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
31,2020-01-06,Hard,Doha,A,39.0,51.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
32,2020-01-06,Hard,Doha,A,62.0,63.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
33,2020-01-06,Hard,Doha,A,67.0,279.0,-212.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
34,2020-01-06,Hard,Doha,A,70.0,47.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
35,2020-01-06,Hard,Doha,A,40.0,69.0,-29.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
36,2020-01-06,Hard,Doha,A,49.0,64.0,-15.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
37,2020-01-06,Hard,Doha,A,68.0,81.0,-13.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
38,2020-01-06,Hard,Doha,A,43.0,55.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
39,2020-01-06,Hard,Doha,A,76.0,58.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
40,2020-01-06,Hard,Doha,A,83.0,54.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
41,2020-01-06,Hard,Doha,A,66.0,23.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
42,2020-01-06,Hard,Doha,A,39.0,65.0,-26.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
43,2020-01-06,Hard,Doha,A,30.0,62.0,-32.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
44,2020-01-06,Hard,Doha,A,70.0,279.0,-209.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
45,2020-01-06,Hard,Doha,A,40.0,49.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
46,2020-01-06,Hard,Doha,A,32.0,81.0,-49.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
47,2020-01-06,Hard,Doha,A,55.0,58.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
48,2020-01-06,Hard,Doha,A,15.0,54.0,-39.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
49,2020-01-06,Hard,Doha,A,65.0,23.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
50,2020-01-06,Hard,Doha,A,62.0,70.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
51,2020-01-06,Hard,Doha,A,81.0,49.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
52,2020-01-06,Hard,Doha,A,15.0,58.0,-43.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
53,2020-01-06,Hard,Doha,A,62.0,23.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
54,2020-01-06,Hard,Atp Cup,A,53.0,12.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
55,2020-01-06,Hard,Atp Cup,A,31.0,82.0,-51.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
56,2020-01-06,Hard,Atp Cup,A,38.0,25.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
57,2020-01-06,Hard,Atp Cup,A,329.0,17.0,312.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
58,2020-01-06,Hard,Atp Cup,A,99.0,77.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
59,2020-01-06,Hard,Atp Cup,A,147.0,33.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
60,2020-01-06,Hard,Atp Cup,A,77.0,24.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
61,2020-01-06,Hard,Atp Cup,A,33.0,9.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
62,2020-01-06,Hard,Atp Cup,A,57.0,99.0,-42.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
63,2020-01-06,Hard,Atp Cup,A,24.0,147.0,-123.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
64,2020-01-06,Hard,Atp Cup,A,34.0,77.0,-43.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
65,2020-01-06,Hard,Atp Cup,A,33.0,2.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
66,2020-01-06,Hard,Atp Cup,A,99.0,34.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
67,2020-01-06,Hard,Atp Cup,A,2.0,147.0,-145.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
68,2020-01-06,Hard,Atp Cup,A,12.0,19.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
69,2020-01-06,Hard,Atp Cup,A,2.0,9.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
70,2020-01-06,Hard,Atp Cup,A,158.0,10.0,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
71,2020-01-06,Hard,Atp Cup,A,1.0,11.0,-10.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
72,2020-01-06,Hard,Atp Cup,A,29.0,52.0,-23.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
73,2020-01-06,Hard,Atp Cup,A,42.0,18.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
74,2020-01-06,Hard,Atp Cup,A,17.0,25.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
75,2020-01-06,Hard,Atp Cup,A,5.0,13.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
76,2020-01-06,Hard,Atp Cup,A,34.0,21.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
77,2020-01-06,Hard,Atp Cup,A,2.0,14.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
78,2020-01-06,Hard,Atp Cup,A,10.0,29.0,-19.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
79,2020-01-06,Hard,Atp Cup,A,18.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
80,2020-01-06,Hard,Atp Cup,A,34.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
81,2020-01-06,Hard,Atp Cup,A,2.0,5.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
82,2020-01-06,Hard,Atp Cup,A,10.0,34.0,-24.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
83,2020-01-06,Hard,Atp Cup,A,1.0,72.0,-71.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
84,2020-01-06,Hard,Atp Cup,A,119.0,10.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
85,2020-01-06,Hard,Atp Cup,A,34.0,24.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
86,2020-01-06,Hard,Atp Cup,A,678.0,10.0,668.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
87,2020-01-06,Hard,Atp Cup,A,1.0,26.0,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
88,2020-01-06,Hard,Atp Cup,A,17.0,31.0,-14.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
89,2020-01-06,Hard,Atp Cup,A,19.0,5.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
90,2020-01-06,Hard,Atp Cup,A,17.0,82.0,-65.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
91,2020-01-06,Hard,Atp Cup,A,5.0,12.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
92,2020-01-06,Hard,Atp Cup,A,417.0,816.0,-399.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,1
93,2020-01-06,Hard,Atp Cup,A,46.0,20.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0,1,0,0,0,0,0
